Equipe;Data_Prev;UF;OBS
NATAL DELIVERY - RN;04/08/2026;RN;
OMEGA - CE;06/08/2026;CE;
DEBORAH BRUNA - PB;07/08/2026;PB;
NATAL DELIVERY - RN;07/08/2026;RN;
REPARO ELETROS - CE;11/08/2026;CE;
EMP ITV REV MAXPLAY - GABRIEL PASCUTI;11/08/2026;SP-SOC;
NATAL DELIVERY - RN;11/08/2026;RN;
ABL - CE;12/08/2026;CE;
OMEGA - CE;13/08/2026;CE;
JL - MG;13/08/2026;MG;
JOAO MANTOAN - SP;13/08/2026;SP-ORN;
LOJA SARAPUI;14/08/2026;SP-SPR;
LOJA ARACOIABA DA SERRA;14/08/2026;SP-SPR;
TELECOM - SP;14/08/2026;SP-ORN;
LOJA SAO LOURENCO;14/08/2026;MG;
NATAL DELIVERY - RN;14/08/2026;RN;
DEBORAH BRUNA - PB;14/08/2026;PB;
LOJA EMBU DAS ARTES;17/08/2026;SP-SOC;
NATAL DELIVERY - RN;17/08/2026;RN;
LOJA TABOAO DA SERRA;17/08/2026;SP-ITV;
REPARO ELETROS - CE;18/08/2026;CE;
LOJA SALTO DE PIRAPORA;18/08/2026;SP-SPR;
LOJA VOTORANTIM;18/08/2026;SP-SPR;
LOJA SAO LOURENCO;18/08/2026;MG;
NATAL DELIVERY - RN;18/08/2026;RN;
LOJA BARUERI;19/08/2026;SP-SOC;
LOJA IPUIUNA;20/08/2026;MG;
LOJA MOGI GUACU;20/08/2026;SP-MOC;
LOJA POUSO ALEGRE;20/08/2026;MG;
LOJA SANTA RITA DE CALDAS;20/08/2026;MG;
LOJA SANTA RITA DO SAPUCAI;20/08/2026;MG;
LOJA MOGI MIRIM;20/08/2026;SP-MOC;
LOJA ITAJUBA;20/08/2026;MG;
OMEGA - CE;20/08/2026;CE;
LOJA CALDAS;20/08/2026;MG;
LOJA SERRANIA;21/08/2026;MG;
LOJA JUQUITIBA;21/08/2026;SP-SOC;
LOJA MACHADO;21/08/2026;MG;
DEBORAH BRUNA - PB;21/08/2026;PB;
NATAL DELIVERY - RN;21/08/2026;RN;
LOJA ALFENAS;21/08/2026;MG;
LOJA ALTEROSA;21/08/2026;MG;
LOJA AREADO;21/08/2026;MG;
LOJA ITAPECERICA DA SERRA;21/08/2026;SP-SOC;
LOJA MONTE MOR;24/08/2026;SP-SOC;
LOJA MONTE BELO;24/08/2026;MG;
LOJA PALMITAL;24/08/2026;SP-ORN;
LOJA PRESIDENTE PRUDENTE;24/08/2026;SP-ORN;
LOJA SALTO GRANDE;24/08/2026;SP-ORN;
LOJA NOVA RESENDE;24/08/2026;MG;
LOJA TAPIRATIBA;24/08/2026;SP-MOC;
LOJA MUZAMBINHO;24/08/2026;MG;
LOJA CANDIDO MOTA;24/08/2026;SP-ORN;
LOJA CACONDE;24/08/2026;SP-ORN;
LOJA ELIAS FAUSTO;24/08/2026;SP-SOC;
LOJA ASSIS;24/08/2026;SP-ORN;
LOJA GUAXUPE;24/08/2026;MG;
LOJA IBIRAREMA;24/08/2026;SP-ORN;
LOJA INDAIATUBA;24/08/2026;SP-SOC;
LOJA BOTELHOS;24/08/2026;MG;
LOJA LIMEIRA;25/08/2026;SP-MOC;
REPARO ELETROS - CE;25/08/2026;CE;
LOJA CAMPOS N PAULISTA;25/08/2026;SP-ORN;
LOJA TRES PONTAS;25/08/2026;MG;
LOJA TUPA;25/08/2026;SP-ORN;
LOJA VARGINHA;25/08/2026;MG;
LOJA RIO CLARO;25/08/2026;MG;
LOJA RINOPOLIS;25/08/2026;SP-ORN;
LOJA DIVISA NOVA;25/08/2026;MG;
LOJA PARAPUA;25/08/2026;SP-ORN;
LOJA PARAGUACU;25/08/2026;MG;
LOJA ELOI MENDES;25/08/2026;MG;
LOJA BASTOS;25/08/2026;SP-ORN;
LOJA LUCELIA;25/08/2026;SP-ORN;
LOJA MARILIA;25/08/2026;SP-ORN;
LOJA ARARAS;25/08/2026;SP-MOC;
NATAL DELIVERY - RN;25/08/2026;RN;
LOJA ESPIRITO SANTO DO PINHAL;26/08/2026;SP-MOC;
LOJA SOROCABA EDEN;26/08/2026;SP-SOC;
LOJA SOROCABA;26/08/2026;SP-SOC;
LOJA CAMBARA;26/08/2026;SP-ORN;
LOJA ITAMBARACA;26/08/2026;SP-ORN;
LOJA SAO JOAO DA BOA VISTA;26/08/2026;SP-MOC;
LOJA CASA BRANCA;26/08/2026;SP-MOC;
LOJA SANTA MARIANA;26/08/2026;SP-ORN;
LOJA VARGEM GRANDE DO SUL;26/08/2026;SP-MOC;
LOJA SANTA AMELIA;26/08/2026;SP-ORN;
LOJA ANDIRA;26/08/2026;SP-ORN;
LOJA RIBEIRAO DO SUL;26/08/2026;SP-ORN;
LOJA AGUAI;26/08/2026;SP-MOC;
LOJA ITOBI;26/08/2026;SP-MOC;
ABL - CE;26/08/2026;CE;
LOJA BANDEIRANTES;26/08/2026;SP-ORN;
